,symbol,date,open,high,low,close,volume,adjusted
308,TSLA,3/25/2024,168.7599945,175.2400055,168.7299957,172.6300049,74228600,172.6300049
309,TSLA,3/26/2024,178.5800018,184.25,177.3800049,177.6699982,113186200,177.6699982
310,TSLA,3/27/2024,181.4100037,181.9100037,176,179.8300018,81804000,179.8300018
311,TSLA,3/28/2024,177.4499969,179.5700073,175.3000031,175.7899933,77654800,175.7899933
312,TSLA,4/1/2024,176.1699982,176.75,170.2100067,175.2200012,81562100,175.2200012
313,TSLA,4/2/2024,164.75,167.6900024,163.4299927,166.6300049,116650600,166.6300049
314,TSLA,4/3/2024,164.0200043,168.8200073,163.2799988,168.3800049,82950100,168.3800049
315,TSLA,4/4/2024,170.0700073,177.1900024,168.0099945,171.1100006,123162000,171.1100006
316,TSLA,4/5/2024,169.0800018,170.8600006,160.5099945,164.8999939,141250700,164.8999939
317,TSLA,4/8/2024,169.3399963,174.5,167.7899933,172.9799957,104423300,172.9799957
318,TSLA,4/9/2024,172.9100037,179.2200012,171.9199982,176.8800049,103232700,176.8800049
319,TSLA,4/10/2024,173.0399933,174.9299927,170.0099945,171.7599945,84532400,171.7599945
320,TSLA,4/11/2024,172.5500031,175.8800049,168.5099945,174.6000061,94516000,174.6000061
321,TSLA,4/12/2024,172.3399963,173.8099976,170.3600006,171.0500031,64506600,171.0500031
322,TSLA,4/15/2024,170.2400055,170.6900024,161.3800049,161.4799957,100245300,161.4799957
323,TSLA,4/16/2024,156.7400055,158.1900024,153.75,157.1100006,9.70E+07,157.1100006
324,TSLA,4/17/2024,157.6399994,158.3300018,153.7799988,155.4499969,82439700,155.4499969
325,TSLA,4/18/2024,151.25,152.1999969,148.6999969,149.9299927,96098800,149.9299927
326,TSLA,4/19/2024,148.9700012,150.9400024,146.2200012,147.0500031,86005100,147.0500031
327,TSLA,4/22/2024,140.5599976,144.4400024,138.8000031,142.0500031,107097600,142.0500031
328,TSLA,4/23/2024,143.3300018,147.2599945,141.1100006,144.6799927,124545100,144.6799927
329,TSLA,4/24/2024,162.8399963,167.9700012,157.5099945,162.1300049,181178000,162.1300049
330,TSLA,4/25/2024,158.9600067,170.8800049,158.3600006,170.1799927,126427500,170.1799927
331,TSLA,4/26/2024,168.8500061,172.1199951,166.3699951,168.2899933,109815700,168.2899933
332,TSLA,4/29/2024,188.4199982,198.8699951,184.5399933,194.0500031,243869700,194.0500031
333,TSLA,4/30/2024,186.9799957,190.9499969,182.8399963,183.2799988,127031800,183.2799988
334,TSLA,5/1/2024,182,185.8600006,179.0099945,179.9900055,92829700,179.9900055
335,TSLA,5/2/2024,182.8600006,184.6000061,176.0200043,180.0099945,89148000,180.0099945
336,TSLA,5/3/2024,182.1000061,184.7799988,178.4199982,181.1900024,75491500,181.1900024
